name,max_power_charge,technology,marginal_cost,efficiency_charge,efficiency_discharge,initial_soc,inflow,bidding_EOM,unit_operator,max_power_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow
battery_0,0,battery,0.0,0.9843,0.9874,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,2,0.0,0.0,,,
battery_1,0,battery,0.0,0.9867,0.9755,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,2,0.0,0.0,,,
battery_2,0,battery,0.0,0.9848,0.9832,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,0,0.0,0.0,,,
battery_3,0,battery,0.0,0.9737,0.98,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,1,0.0,0.0,,,
battery_4,0,battery,0.0,0.9867,0.9885,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,1,0.0,0.0,,,
battery_5,0,battery,0.0,0.9772,0.9797,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,3,0.0,0.0,,,
battery_6,0,battery,0.0,0.9771,0.9806,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,1,0.0,0.0,,,
battery_7,0,battery,0.0,0.9794,0.9778,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,0,0.0,0.0,,,
battery_8,0,battery,0.0,0.9884,0.9806,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,1,0.0,0.0,,,
battery_9,0,battery,0.0,0.9741,0.988,0.0,0.0,flexable_eom_storage,storage_eom_operator,0,0,0,0.0,0.0,,,
Tanzmühle - Rabenleite,25,PSPP,,0.81,0.88,,,flexable_eom_storage,storage_eom_operator,35,1,404,,,0.28,0.28,0.0
Schwarzenbachwerk,20,PSPP,,0.73,0.82,,,flexable_eom_storage,storage_eom_operator,46,1,198,,,0.28,0.28,1.2
Leitzach II,38,PSPP,,0.86,0.9,,,flexable_eom_storage,storage_eom_operator,49,1,550,,,0.28,0.28,0.7
Leitzach I,40,PSPP,,0.86,0.9,,,flexable_eom_storage,storage_eom_operator,51,1,550,,,0.28,0.28,1.8
Hohenwarte I,34,PSPP,,0.8,0.87,,,flexable_eom_storage,storage_eom_operator,63,1,504,,,0.28,0.28,1.9
Bleiloch,32,PSPP,,0.8,0.87,,,flexable_eom_storage,storage_eom_operator,80,1,640,,,0.28,0.28,1.3
Wendefurth,72,PSPP,,0.82,0.88,,,flexable_eom_storage,storage_eom_operator,80,1,523,,,0.28,0.28,0.0
Glems,68,PSPP,,0.84,0.89,,,flexable_eom_storage,storage_eom_operator,90,1,560,,,0.28,0.28,0.0
Reisach - Rabenleite,84,PSPP,,0.85,0.9,,,flexable_eom_storage,storage_eom_operator,100,1,630,,,0.28,0.28,0.0
Geesthacht,96,PSPP,,0.81,0.87,,,flexable_eom_storage,storage_eom_operator,105,1,600,,,0.28,0.28,0.0
Rönkhausen,140,PSPP,,0.85,0.9,,,flexable_eom_storage,storage_eom_operator,140,1,690,,,0.28,0.28,0.0
Waldeck I,96,PSPP,,0.87,0.92,,,flexable_eom_storage,storage_eom_operator,140,1,478,,,0.28,0.28,0.0
Häusern,104,PSPP,,0.82,0.88,,,flexable_eom_storage,storage_eom_operator,144,1,514,,,0.28,0.28,0.0
Koepchenwerk Herdecke II,153,PSPP,,0.85,0.9,,,flexable_eom_storage,storage_eom_operator,153,1,590,,,0.28,0.28,0.0
Happurg,126,PSPP,,0.83,0.89,,,flexable_eom_storage,storage_eom_operator,160,1,900,,,0.28,0.28,0.0
Langenprozelten,154,PSPP,,0.85,0.9,,,flexable_eom_storage,storage_eom_operator,168,1,950,,,0.28,0.28,0.0
Waldshut,80,PSPP,,0.79,0.86,,,flexable_eom_storage,storage_eom_operator,176,1,581,,,0.28,0.28,0.0
Erzhausen,230,PSPP,,0.84,0.9,,,flexable_eom_storage,storage_eom_operator,220,1,940,,,0.28,0.28,0.0
Witznau,128,PSPP,,0.77,0.84,,,flexable_eom_storage,storage_eom_operator,220,1,880,,,0.28,0.28,0.0
Hohenwarte II,310,PSPP,,0.8,0.87,,,flexable_eom_storage,storage_eom_operator,320,1,2087,,,0.28,0.28,0.0
Säckingen,301,PSPP,,0.86,0.91,,,flexable_eom_storage,storage_eom_operator,353,1,2064,,,0.28,0.28,1.8
Waldeck II,476,PSPP,,0.87,0.92,,,flexable_eom_storage,storage_eom_operator,440,1,3428,,,0.28,0.28,0.0
Wehr,1000,PSPP,,0.86,0.9,,,flexable_eom_storage,storage_eom_operator,992,1,6076,,,0.28,0.28,0.0
Markersbach,1140,PSPP,,0.84,0.89,,,flexable_eom_storage,storage_eom_operator,1050,1,4018,,,0.28,0.28,0.0
Goldisthal,1140,PSPP,,0.88,0.92,,,flexable_eom_storage,storage_eom_operator,1060,1,8480,,,0.28,0.28,0.0
