Line,bus0,bus1,x0,y0,x1,y1,s_nom,x,r,NUTS_ID,NUTS_ID_bus1,geometry,point0,point1,inside_germany
merged_relation/14650683-220-a+2,way/88916034-220,way/50319857-220,7.9563718028434,47.594058095134,8.05058626429237,47.54992977834913,491.556,2.87461,0.573012,DE13A,CH033,"LINESTRING (7.9563718028434 47.594058095134, 8.05058626429237 47.54992977834913)",POINT (7.9563718028434 47.594058095134),POINT (8.05058626429237 47.54992977834913),True
merged_way/50306784-2-220+1,way/88916034-220,way/50319857-220,7.9563718028434,47.594058095134,8.05058626429237,47.54992977834913,983.112,1.359286,0.270954,DE13A,CH033,"LINESTRING (7.9563718028434 47.594058095134, 8.05058626429237 47.54992977834913)",POINT (7.9563718028434 47.594058095134),POINT (8.05058626429237 47.54992977834913),True
way/48616848-380,way/101997887-380,way/31131320-380,9.81088602364097,47.14287659795069,9.801472583953686,47.65271679595244,3396.205,9.581951,1.168531,AT341,DE148,"LINESTRING (9.81088602364097 47.14287659795069, 9.801472583953686 47.65271679595244)",POINT (9.81088602364097 47.14287659795069),POINT (9.801472583953686 47.65271679595244),True
merged_relation/3916226-380-c+3,way/50319857-380,way/31367940-380,8.050836321138025,47.54976885716907,8.25964953694769,47.63414698492085,1698.103,5.665464,0.69091,CH033,DE13A,"LINESTRING (8.050836321138025 47.54976885716907, 8.25964953694769 47.63414698492085)",POINT (8.050836321138025 47.54976885716907),POINT (8.25964953694769 47.63414698492085),True
merged_way/195538144-1-380+6,way/31367940-380,way/98648381-380,8.25964953694769,47.63414698492085,8.232282838201154,47.556184194035424,1698.103,2.456381,0.299559,DE13A,CH033,"LINESTRING (8.25964953694769 47.63414698492085, 8.232282838201154 47.556184194035424)",POINT (8.25964953694769 47.63414698492085),POINT (8.232282838201154 47.556184194035424),True
relation/12842815-400,way/301158539-400,way/95840891-400,9.197744958156765,54.85118082313217,9.269876332875464,55.03683247899879,1787.476,5.592571,0.682021,DEF0C,DK032,"LINESTRING (9.197744958156765 54.85118082313217, 9.269876332875464 55.03683247899879)",POINT (9.197744958156765 54.85118082313217),POINT (9.269876332875464 55.03683247899879),True
relation/3732382-400-a,way/301158539-400,way/95840891-400,9.197744958156765,54.85118082313217,9.269876332875464,55.03683247899879,1787.476,5.592571,0.682021,DEF0C,DK032,"LINESTRING (9.197744958156765 54.85118082313217, 9.269876332875464 55.03683247899879)",POINT (9.197744958156765 54.85118082313217),POINT (9.269876332875464 55.03683247899879),True
merged_way/195538144-2-220+4,way/98648381-220,way/31367940-220,8.232007768922763,47.55598877369629,8.259373954336946,47.633951639550624,491.556,2.998068,0.597622,CH033,DE13A,"LINESTRING (8.232007768922763 47.55598877369629, 8.259373954336946 47.633951639550624)",POINT (8.232007768922763 47.55598877369629),POINT (8.259373954336946 47.633951639550624),True
merged_way/27854188-2-220+1,way/50319857-220,way/31367940-220,8.05058626429237,47.54992977834913,8.259373954336946,47.633951639550624,983.112,3.536615,0.704973,CH033,DE13A,"LINESTRING (8.05058626429237 47.54992977834913, 8.259373954336946 47.633951639550624)",POINT (8.05058626429237 47.54992977834913),POINT (8.259373954336946 47.633951639550624),True
merged_way/50306784-1-380+1,way/88916034-380,way/50319857-380,7.956646031605341,47.5942542022786,8.050836321138025,47.54976885716907,3396.205,1.111775,0.135582,DE13A,CH033,"LINESTRING (7.956646031605341 47.5942542022786, 8.050836321138025 47.54976885716907)",POINT (7.956646031605341 47.5942542022786),POINT (8.050836321138025 47.54976885716907),True
merged_way/62332171-380+3,DE209-380,way/50319857-380,8.5305556,47.91484819262888,8.050836321138025,47.54976885716907,3396.205,7.580729,0.924479,DE136,CH033,"LINESTRING (8.5305556 47.91484819262888, 8.050836321138025 47.54976885716907)",POINT (8.5305556 47.91484819262888),POINT (8.050836321138025 47.54976885716907),True
relation/3915993-380-c,DE213-380,way/50319857-380,7.995386199999997,47.57836749242024,8.050836321138025,47.54976885716907,1698.103,1.335214,0.162831,DE13A,CH033,"LINESTRING (7.995386199999997 47.57836749242024, 8.050836321138025 47.54976885716907)",POINT (7.995386199999997 47.57836749242024),POINT (8.050836321138025 47.54976885716907),True
way/1327046560-380,DE213-380,way/50319857-380,7.995386199999997,47.57836749242024,8.050836321138025,47.54976885716907,1698.103,1.335214,0.162831,DE13A,CH033,"LINESTRING (7.995386199999997 47.57836749242024, 8.050836321138025 47.54976885716907)",POINT (7.995386199999997 47.57836749242024),POINT (8.050836321138025 47.54976885716907),True
relation/3916522-380-a,way/397960460-380,way/88916034-380,7.752406843933692,47.53901563455695,7.956646031605341,47.5942542022786,1698.103,6.7312,0.820878,CH033,DE13A,"LINESTRING (7.752406843933692 47.53901563455695, 7.956646031605341 47.5942542022786)",POINT (7.752406843933692 47.53901563455695),POINT (7.956646031605341 47.5942542022786),True
