datetime,price_EOM,residual_load_EOM
2019-01-01 00:00:00,1,24
2019-01-01 01:00:00,2,23
2019-01-01 02:00:00,3,22
2019-01-01 03:00:00,4,21
2019-01-01 04:00:00,5,20
2019-01-01 05:00:00,6,19
2019-01-01 06:00:00,7,18
2019-01-01 07:00:00,8,17
2019-01-01 08:00:00,9,16
2019-01-01 09:00:00,10,15
2019-01-01 10:00:00,11,14
2019-01-01 11:00:00,12,13
2019-01-01 12:00:00,13,12
2019-01-01 13:00:00,14,11
2019-01-01 14:00:00,15,10
2019-01-01 15:00:00,16,9
2019-01-01 16:00:00,17,8
2019-01-01 17:00:00,18,7
2019-01-01 18:00:00,19,6
2019-01-01 19:00:00,20,5
2019-01-01 20:00:00,21,4
2019-01-01 21:00:00,22,3
2019-01-01 22:00:00,23,2
2019-01-01 23:00:00,24,1
