,charging_station_1,charging_station_2
timestep_0,0.0900000000000002,0.09000000000000018
timestep_1,0.06000000000000018,0.060000000000000206
timestep_2,0.030000000000000204,0.030000000000000176
timestep_3,0.0,0.0
timestep_4,0.0,0.0
timestep_5,0.0,0.0
timestep_6,0.0,0.0
timestep_7,0.0,0.0
timestep_8,0.030000000000000054,0.030000000000000075
timestep_9,0.060000000000000116,0.06000000000000014
timestep_10,0.06000000000000016,0.060000000000000164
timestep_11,0.030000000000000075,0.030000000000000075
timestep_12,0.0,0.0
timestep_13,0.0,0.0
timestep_14,0.0,0.0
timestep_15,0.0,0.0
timestep_16,0.0,0.0
timestep_17,0.030000000000000054,0.030000000000000096
timestep_18,0.06,0.06
timestep_19,0.03,0.03
timestep_20,0.0,0.0
timestep_21,0.0,0.0
timestep_22,0.0,0.0
timestep_23,0.0,0.0
timestep_24,0.0,0.0
timestep_25,0.0,0.0
timestep_26,0.0,0.0
timestep_27,0.0,0.0
timestep_28,0.0,0.0
timestep_29,0.0,0.0
timestep_30,0.03,0.03
timestep_31,0.03,0.03
timestep_32,0.0,0.0
timestep_33,0.0,0.0
timestep_34,0.0,0.0
timestep_35,0.0,0.0
timestep_36,0.0,0.0
timestep_37,0.0,0.0
timestep_38,0.0,0.0
timestep_39,0.0,0.0
timestep_40,0.0,0.0
timestep_41,0.0,0.0
timestep_42,0.03,0.03
timestep_43,0.03,0.03
timestep_44,0.0,0.0
timestep_45,0.0,0.0
timestep_46,0.0,0.0
timestep_47,0.0,0.0
timestep_48,0.0,0.0
timestep_49,0.0,0.0
timestep_50,0.0,0.0
timestep_51,0.0,0.0
timestep_52,0.0,0.0
timestep_53,0.0,0.0
timestep_54,0.03,0.03
timestep_55,0.03,0.03
timestep_56,0.0,0.0
timestep_57,0.0,0.0
timestep_58,0.0,0.0
timestep_59,0.0,0.0
timestep_60,0.0,0.0
timestep_61,0.0,0.0
timestep_62,0.0,0.0
timestep_63,0.0,0.0
timestep_64,0.0,0.0
timestep_65,0.0,0.0
timestep_66,0.0,0.0
timestep_67,0.0,0.0
timestep_68,0.0,0.0
timestep_69,0.0,0.0
timestep_70,0.0,0.0
timestep_71,0.0,0.0
timestep_72,0.0,0.0
timestep_73,0.0,0.0
timestep_74,0.0,0.0
timestep_75,0.0,0.0
timestep_76,0.0,0.0
timestep_77,0.0,0.0
timestep_78,0.03,0.03
timestep_79,0.0,0.0
timestep_80,0.0,0.0
timestep_81,0.0,0.0
timestep_82,0.0,0.0
timestep_83,0.0,0.0
timestep_84,0.0,0.0
timestep_85,0.0,0.0
timestep_86,0.0,0.0
timestep_87,0.0,0.0
timestep_88,0.0,0.0
timestep_89,0.0,0.0
timestep_90,0.03,0.03
timestep_91,0.06,0.06
timestep_92,0.060000000000000754,0.06
timestep_93,0.030000000000000235,0.03
timestep_94,0.0,0.0
timestep_95,0.030000000000000096,0.03000000000000009
timestep_96,0.0,0.0
timestep_97,0.0,0.0
timestep_98,0.0,0.0
timestep_99,0.0,0.0
