datetime,lignite,hard coal,natural gas,oil,biomass,co2,natural_gas_co2_factor,oil_co2_factor,lignite_co2_factor,hard_coal_co2_factor
1/1/2023 0:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 1:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 2:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 3:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 4:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 5:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 6:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 7:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 8:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 9:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 10:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 11:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 12:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 13:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 14:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 15:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 16:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 17:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 18:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 19:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 20:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 21:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 22:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/1/2023 23:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 0:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 1:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 2:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 3:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 4:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 5:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 6:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 7:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 8:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 9:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 10:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 11:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 12:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 13:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 14:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 15:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 16:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 17:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 18:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 19:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 20:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 21:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 22:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
1/2/2023 23:00,8.27,25.9,30.95,21.67,16.67,160,0.35,0.6,0.63,0.66
