datetime,price_EOM
2019-01-01 00:00:00,1.0
2019-01-01 01:00:00,2.0
2019-01-01 02:00:00,3.0
2019-01-01 03:00:00,4.0
2019-01-01 04:00:00,5.0
2019-01-01 05:00:00,6.0
2019-01-01 06:00:00,7.0
2019-01-01 07:00:00,8.0
2019-01-01 08:00:00,9.0
2019-01-01 09:00:00,10.0
2019-01-01 10:00:00,11.0
2019-01-01 11:00:00,12.0
2019-01-01 12:00:00,13.0
2019-01-01 13:00:00,14.0
2019-01-01 14:00:00,15.0
2019-01-01 15:00:00,16.0
2019-01-01 16:00:00,17.0
2019-01-01 17:00:00,18.0
2019-01-01 18:00:00,19.0
2019-01-01 19:00:00,20.0
2019-01-01 20:00:00,21.0
2019-01-01 21:00:00,22.0
2019-01-01 22:00:00,23.0
2019-01-01 23:00:00,24.0
2019-01-02 00:00:00,25.0
